240,ED142,,HALE'S BLUE BOY,,,,2,CTNS,,27.00,/CTNS,0.000,54.00,6.00
250,FD356,,,YEO'S SOYBEAN DR. ppbox,,,10,CTNS,,8.00,/CTNS,0.000,80.00,17.50
260,FD357,,,YEO'S CHRYSANTHEMUM pbox,,,7,CTNS,,8.00,/CTNS,0.000,56.00,8.33
270,FD352,,,YEO'S WHITE GOURD DR pbox,,,3,CTNS,,8.00,/CTNS,0.000,24.00,3.57
280,FD352,,,YEO'S WHITE GOURD DR pbox,,,2,CTNS,,0.00,/CTNS,0.000,0.00,13.62-
290,FD370,,,YEO'S SOYBEAN DRINK,,1L,5,CTNS,,11.00,/CTNS,0.000,55.00,5.00
300,FD360,,,YEO'S CHRYSANTHEMUM DRINK,,,10,CTNS,,11.50,/CTNS,0.000,115.00,14.00
305,CRV002,,CRV,/,24 BIMETAL CANNED,,12,CTNS,,1.20,/CTNS,0.000,14.40,14.40
310,FD369,,,YEO'S WHITE GOURD DR can,,,10,CTNS,,11.50,/CTNS,0.000,115.00,14.00
315,CRV001,,CRV,,/ ALUMINUM CANNED,,10,CTNS,,1.20,/CTNS,0.000,12.00,12.00
320,FD365,,,YEO'S SUGAR CANE DRINK,,,2,CTNS,,0.00,/CTNS,0.000,0.00,18.36-
330,CI110,,,HUY FONG CHILI GARLIC,,*M*,5,CTNS,,18.50,/CTNS,0.000,92.50,7.50
340,CI111,,,HUY FONG CHILI GARLIC,,*S*,2,CTNS,,22.00,/CTNS,0.000,44.00,4.00
350,CI112,,,HUY FONG CHILI GARLIC,,*L*,2,CTNS,,28.50,/CTNS,0.000,57.00,5.00
360,CI100,,,SAMBAL OELEK GR CHILI,,*M*,3,CTNS,,17.50,/CTNS,0.000,52.50,4.50
370,CI101,,,SAMBAL OELEK GR CHILI,,*S*,2,CTNS,,21.00,/CTNS,0.000,42.00,4.00
380,CI102,,,SAMBAL OELEK GR CHILI,,*L*,5,CTNS,,24.50,/CTNS,0.000,122.50,12.50
390,CI120,,,SRIRACHA CHILI SAUCE,,*L*,10,CTNS,,23.00,/CTNS,0.000,230.00,20.00
400,CI121,,,SRIRACHA CHILI SAUCE,,*S*,10,CTNS,,18.50,/CTNS,0.000,185.00,15.00

Date,12/14/2018,Time,13:35:22,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0003
,,,,,,I N V O I C E,H I S T O R Y,,B Y,I N V O I C E
Invoice,#:,770196,Invoice date:,,11/01/18,,Customer: H016,,HIEP THANH,,,Sales rep:,5
Order,#:,99685,Order date:,,10/31/18,,,,822 N.WATERMAN
,,,,,,,Telephone:,,909-884-4800
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,,#,Description,,,,Qty-shipped,,Unit price,,Lin-disc%,,Ext-price,Gross-margin
410,COF109AAA,,TRUNG NGUYEN COFFE,,,*50ST,7,CTNS,,50.00,/CTNS,0.000,350.00,97.51
420,COF109AA,,TRUNG NGUYEN COFEE,,,*100ST,3,CTNS,,50.00,/CTNS,0.000,150.00,49.50
430,COF109AA,,TRUNG NGUYEN COFEE,,,*100ST,1,CTNS,,0.00,/CTNS,0.000,0.00,33.50-
440,COF102,,,TRUNG NGUYEN COFFEE culi,,,2,CTNS,,73.00,/CTNS,0.000,146.00,10.00
450,COF108,,,TRUNG NGUYEN COFFEE (CAN),,,2,CTNS,,65.00,/CTNS,0.000,130.00,10.00
460,TE154,,CHINA SLIM TEA,,*LADY SIT*,,3,CTNS,,43.00,/CTNS,0.000,129.00,13.62
470,TE152,,CHINA SLIM TEA,,*LADY SIT*,,1,CTNS,,48.00,/CTNS,0.000,48.00,5.70
480,TE153,,CHINA SLIM TEA,,*LADY SIT*,,1,CTNS,,52.00,/CTNS,0.000,52.00,5.85
490,TE136,,3 LADY. DIETER TEA,,,30TBAG,1,CTNS,,48.00,/CTNS,0.000,48.00,5.00
500,RI105,,GC SWEET RICE,,*4 LBS*,,1,CTNS,,42.00,/CTNS,0.000,42.00,4.00
510,RI104,,GC SWEET RICE,,*2 LBS*,,2,CTNS,,43.00,/CTNS,0.000,86.00,8.00
520,UT613,,TIGER RICE COOKER,,,10 CUP,4,EACH,,100.00,/EACH,0.000,400.00,30.64
530,UT612,,TIGER RICE COOKER,,,8 CUP,4,EACH,,95.00,/EACH,0.000,380.00,30.40
540,UT610,,TIGER RICE COOKER,,,4 CUP,4,EACH,,88.00,/EACH,0.000,352.00,28.80
560,PW303C,,,LOTUS GIA VI PHO GA,,,2,CTN,,50.00,/CTN,0.000,100.00,9.10
570,PW303A,,,LOTUS GIA VI BO HUE,,,2,CTNS,,50.00,/CTNS,0.000,100.00,9.08
580,UT110,,BAI TU SAC,,,,2,BOX,,65.00,/BOX,0.000,130.00,15.00
590,MS101,,,AJINOMOTO MSG (BAGS),,,10,CTNS,,76.00,/CTNS,0.000,760.00,79.00
600,PA208,,,POR KWAN PAD THAI SAUCE,,,1,CTNS,,32.00,/CTNS,0.000,32.00,9.00
610,PW235,,,KNORR TAMARIND SOUP BASE,,,1,CTNS,,47.00,/CTNS,0.000,47.00,10.62
620,SA210,,,BULL HEAD B.B.Q SAUCE,,*S*,2,CTNS,,37.00,/CTNS,0.000,74.00,8.56
630,PW503,,,GC COCONUT GELATIN DESSER,,,12,CTNS,,27.00,/CTNS,0.000,324.00,36.00
640,SS193,,,SWISS MAGGIE SEASONING L,,,4,CTNS,,67.00,/CTNS,0.000,268.00,28.00
650,SS192,,,SWISS MAGGIE SEASONING S,,,2,CTNS,,82.00,/CTNS,0.000,164.00,14.00
660,SS194,,FRENCH MAGGI SAUCE,,,*L*,3,CTNS,,75.00,/CTNS,0.000,225.00,30.00
670,NO146,,,MEI FF TOM YUM SEAFOOD,,,2,CTNS,,28.50,/CTNS,0.000,57.00,6.00
680,NO145,,,MEI FF TOM YUM NOODLE,,,2,CTNS,,28.00,/CTNS,0.000,56.00,5.00
690,NO145A,,,MEI FF BRAIS CHICKEN NOOD,,,2,CTNS,,28.00,/CTNS,0.000,56.00,5.00
700,NO146B,,MEI FF XO NOODLE,,,,2,CTNS,,28.00,/CTNS,0.000,56.00,5.00
710,NO147,,MEI FF PHO BO,,,,1,CTNS,,30.50,/CTNS,0.000,30.50,2.81
720,VE102,,,SUNNY MAID VERMICELLI,,,3,CTNS,,91.00,/CTNS,0.000,273.00,24.00
730,RS105,,,MY THO BANH HOI TUOI,,*VN*,5,CTNS,,37.40,/CTNS,0.000,187.00,68.00
740,RS105,,,MY THO BANH HOI TUOI,,*VN*,1,CTNS,,0.00,/CTNS,0.000,0.00,23.80-
750,CA165,,,YUKHIN PRES. WHITE PRUNE,,,1,CTNS,,61.00,/CTNS,0.000,61.00,5.80
760,CA166,,,YUKHIN PRES. RED PRUNE,,,1,CTNS,,61.00,/CTNS,0.000,61.00,5.80
770,CO255B,,,GARDEN STRAWBERY WAFER,,,3,CTNS,,26.50,/CTNS,0.000,79.50,7.50
780,CO255A,,,GARDEN CHOCOLATE WAFER,,,3,CTNS,,26.50,/CTNS,0.000,79.50,7.50
790,CO254,,,GARDEN COCONUT WAFER,,,2,CTNS,,26.50,/CTNS,0.000,53.00,5.00
800,CO255E,,,GARDEN VANILA WAFER .,,,2,CTNS,,26.50,/CTNS,0.000,53.00,5.00
810,DV141,,NK FRUCTUS LYCII,,,6 OZ,0.50,CTNS,,182.00,/CTNS,0.000,91.00,8.50
820,CH120,,,CALBEE SHRIMP CHIPS,,8 OZ,5,CTNS,,20.00,/CTNS,0.000,100.00,10.00
830,CH121,,,CALBEE SHRIMP CHIPS,,4 OZ,5,CTNS,,12.50,/CTNS,0.000,62.50,7.50
840,PW211,,,S & B WASABI IN TUBE,,*L*,4,PACK,,22.00,/PACK,0.000,88.00,12.68
850,CV143,,AFC HOT BEANCURD,,,10.6 OZ,1,CTNS,,43.00,/CTNS,0.000,43.00,4.50
890,TE210,,,FEC KOREAN GINSENG TEA,,,1,CTNS,,165.00,/CTNS,0.000,165.00,15.00
891,TE210,,,FEC KOREAN GINSENG TEA,,,1,CTNS,,200.00,/CTNS,0.000,200.00,50.00

Date,12/14/2018,Time,13:35:22,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0004
,,,,,,I N V O I C E,H I S T O R Y,,B Y,I N V O I C E
Invoice,#:,770196,Invoice date:,,11/01/18,,Customer: H016,,HIEP THANH,,,Sales rep:,5
Order,#:,99685,Order date:,,10/31/18,,,,822 N.WATERMAN
,,,,,,,Telephone:,,909-884-4800
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,,#,Description,,,,Qty-shipped,,Unit price,,Lin-disc%,,Ext-price,Gross-margin
900,TE314,,RED GINSENG,,*L*,,1,CTNS,,94.00,/CTNS,0.000,94.00,9.00
910,TE314,,GREEN GINSENG,,*L*,,1,CTNS,,94.00,/CTNS,0.000,94.00,9.00
920,PW162,,,PANKO BREAD CRUMB JAPAN,,,2,CTNS,,35.00,/CTNS,0.000,70.00,7.36
930,PW231C,,,KNORR BEEF BOUILLON MIX,,,3,BOX,,21.00,/BOX,0.000,63.00,8.46
950,PW231,,,KNORR CHICKEN BOUILLO MIX,,,3,BOX,,21.00,/BOX,0.000,63.00,8.46
960,RS231,,,NG FUNG FINE VERM.bun,,*S*,20,CTNS,,57.00,/CTNS,0.000,1140.00,100.00
970,RS143,,NG FUNG BUN BO HUE,,,14 OZ,2,CTNS,,63.00,/CTNS,0.000,126.00,12.00
980,NO100,,,NG FUNG RICE MACARONI,,,2,CTNS,,33.00,/CTNS,0.000,66.00,6.00
990,FP150,,,CHIN CHALOK KOKI SHRIMP,,,2,CTNS,,45.00,/CTNS,0.000,90.00,10.00
0,PA170,,,2 CHICKEN SHRIMP PASTE-L-,,,8,CTNS,,58.00,/CTNS,0.000,464.00,48.00
10,PA171,,,2 CHICKEN SHRIMP PASTE-S-,,,2,CTNS,,38.00,/CTNS,0.000,76.00,12.00
40,FP104,,,NP. MAM CA LOC CREAMY,,16z,1,CTNS,,106.00,/CTNS,0.000,106.00,10.00
50,FP206B,,,NP MAM RUOC DA NANG,,,1,CTNS,,58.00,/CTNS,0.000,58.00,21.28
70,FP206,,NP MAM TOM BAC,,*,,1,EACH,,56.00,/CTNS,0.000,56.00,18.08
80,FP107,,NP. MAM CA LOC,,24oz,MUD,2,CTNS,,80.00,/CTNS,0.000,160.00,16.00
110,FP102,,,NP. MAM CA SAC CREAMY,,16z,2,CTNS,,75.00,/CTNS,0.000,150.00,14.00
120,FP101,,NP. MAM CA SAC,,,24z thai,5,CTNS,,54.00,/CTNS,0.000,270.00,30.00
130,FP100,,NP. MAM CA SAC,,,16z thai,1,CTNS,,64.00,/CTNS,0.000,64.00,6.00
140,FP127,,,QUE HUONG MAM NEM PHA,,*L*,2,CTNS,,54.00,/CTNS,0.000,108.00,10.00
150,FP128,,QUE HUONG MAM NEM,,,**L**,1,CTNS,,54.00,/CTNS,0.000,54.00,5.00
160,SA177,,,LA CHOY SWEET & SOUR SAUC,,,3,CTNS,,20.00,/CTNS,0.000,60.00,6.00
170,MD105,,KWAN LOONG OIL,,,,2,DOZ,,54.00,/DOZ,0.000,108.00,12.00
180,CM105,,,SAN ING PEARL CREAM,,,2,DOZ,,20.00,/DOZ,0.000,40.00,5.00
190,FC100,,RED FOOD COLOR,,,,2,PACK,,15.00,/PACK,0.000,30.00,5.76
210,FC102,,YELLOW FOOD COLOR,,,,2,PACK,,15.00,/PACK,0.000,30.00,5.76
220,COL108B,,PAON,,7/8 HAIR REFILL,#6,2,BOX,,28.50,/BOX,0.000,57.00,8.40
230,COL108C,,PAON,,7/8 HAIR REFILL,#7,2,BOX,,28.50,/BOX,0.000,57.00,8.40
240,RS210,,BUN THAP CHUA,,,,1,CTNS,,66.00,/CTNS,0.000,66.00,6.00
280,CC112A,,,AROY-D UHT COCONUT MILK-L,,,5,CTNS,,23.00,/CTNS,0.000,115.00,25.00
290,CC112B,,,AROY-D UHT COCONUT MILK-M,,,3,CTNS,,28.00,/CTNS,0.000,84.00,25.50
300,PW239A,,,TOTOLE CHICKEN BOUILLON L,,,1,CTNS,,81.00,/CTNS,0.000,81.00,6.00
310,PW230,,,KNORR CHICKEN BROTH MIX,,,1,CTNS,,56.00,/CTNS,0.000,56.00,5.10
340,UT818B,,,EAGLE BRAND MUSCLE RUB,,,1,CTNS,,73.75,/CTNS,0.000,73.75,73.75
,,,,,,,,,,,Invoice totals:,,14326.17,1984.20

Date,12/14/2018,Time,13:35:22,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0005
,,,,,,I N V O I C E,H I S T O R Y,,B Y,I N V O I C E
Invoice,#:,770197,Invoice date:,,11/01/18,,Customer: H016,,HIEP THANH,,,Sales rep:,5
Order,#:,99710,Order date:,,11/01/18,,,,822 N.WATERMAN
,,,,,,,Telephone:,,909-884-4800
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,,#,Description,,,,Qty-shipped,,Unit price,,Lin-disc%,,Ext-price,Gross-margin
10,COF180,,CAFE PHO,,3IN1 (BAG),30TB,1,CTNS,,140.00,/CTNS,0.000,140.00,53.55
,,,,,,,,,,,Invoice totals:,,140.00,53.55

Date,12/14/2018,Time,13:35:22,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0006
,,,,,,I N V O I C E,H I S T O R Y,,B Y,I N V O I C E
Invoice,#:,770198,Invoice date:,,11/01/18,,Customer: LUCKYO,,LUCKY ORIENTAL MARKET,,,Sales rep:,7
Order,#:,99706,Order date:,,11/01/18,,,,1661 E,6TH ST STE A
,,,,,,,Telephone:,,951-567-4088,,HP
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,,#,Description,,,,Qty-shipped,,Unit price,,Lin-disc%,,Ext-price,Gross-margin
10,CF211,,,AROY-D LYCHEE SYRUP,,10+1,1,CTNS,,46.00,/CTNS,0.000,46.00,17.15
40,FR350,,BMK MEAT BALL,,,,1,CTNS,,66.00,/CTNS,0.000,66.00,6.00
50,CO113,,,BIN BIN RICE CRACKER,,,1,CTNS,,20.00,/CTNS,0.000,20.00,1.75
60,CH121,,,CALBEE SHRIMP CHIPS,,4 OZ,2,CTNS,,12.50,/CTNS,0.000,25.00,3.00
70,FD150A,,,CHIN-C ALOE VERA JUICE S,,,1,CTNS,,21.50,/CTNS,0.000,21.50,2.20
80,CRV005,,CRV,/,24 PLASTIC BOTTLE,,1,CTNS,,1.20,/CTNS,0.000,1.20,1.20
90,CF290,,,CHIN-C GREEN AI-YU JELLY,,,1,CTNS,,11.50,/CTNS,0.000,11.50,1.20
110,FR701,,,FR. PALM NUT (L. ELEPHANT,,,1,CTNS,,85.00,/CTNS,0.000,85.00,45.40
120,RS131A,,,EXCELENT RICE STICK BIHON,,,1,CTNS,,55.00,/CTNS,0.000,55.00,11.00
130,FR204,,FR. MILKFISH W/R,,,800up,1,CTNS,,64.00,/CTNS,0.000,64.00,8.00
150,GR301,,,GREAT WALL BEEF TENDON,,,1,CTNS,,61.00,/CTNS,0.000,61.00,6.00
160,ED141,,HALE'S BLUE BOY,,,*GREEN*,1,CTNS,,26.00,/CTNS,0.000,26.00,6.00
170,CI121,,,SRIRACHA CHILI SAUCE,,*S*,1,CTNS,,19.00,/CTNS,0.000,19.00,2.00
200,HM140,,,KYJ CHINESE SAUSAGE,,,1,CTNS,,117.00,/CTNS,0.000,117.00,14.00
210,PA117,,,LAL TAMARIND CONCENTRATE,,,1,CTNS,,38.00,/CTNS,0.000,38.00,11.09
220,SU101,,LAL PALM SUGAR,,16 OZ,,1,CTNS,,30.00,/CTNS,0.000,30.00,10.20
240,BS181,,,LAL TONG BAMBOO SHOOT,,,1,CTNS,,23.00,/CTNS,0.000,23.00,8.00
250,SA105,,LKK HOISIN SAUCE,,,*20 OZ*,2,CTNS,,18.50,/CTNS,0.000,37.00,4.20
260,FS191,,LUCKY FISH SAUCE,,,,2,CTNS,,8.50,/CTNS,0.000,17.00,6.00
270,SA161A,,,MANG TOMAS ALL PURPOSE,,*L,1,CTNS,,21.50,/CTNS,0.000,21.50,2.60
280,CH130,,,M.POLO SHRIMP CHIP ORIGIN,,,1,CTNS,,17.50,/CTNS,0.000,17.50,1.75
290,BS200,,,MASTER CHILI BAMBOO,,,1,CTNS,,42.00,/CTNS,0.000,42.00,4.00
300,NO190C,,N-SHIM SHIN NOODLE,,,*BOWL*,2,CTNS,,8.25,/CTNS,0.000,16.50,2.00
320,CI192,,,PANTAI SWT CHILI SAUCE,,*L,1,CTNS,,29.00,/CTNS,0.000,29.00,4.00
330,RS102,,,TIGER POOLEE NOODLE THICK,,,1,CTNS,,52.00,/CTNS,0.000,52.00,5.00
340,GR203,,,VI HUONG PORK MEAT LOAF,,,1,CTNS,,50.00,/CTNS,0.000,50.00,5.00
350,FS220,,3 CRAB FISH SAUCE,,,,1,CTNS,,36.00,/CTNS,0.000,36.00,2.50
360,NO280,,,WAI WAI ORIENTAL NOODLE,,,1,CASE,,29.00,/CASE,0.000,29.00,3.00
,,,,,,,,,,,Invoice totals:,,1056.70,194.24

Date,12/14/2018,Time,13:35:22,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0007
,,,,,,I N V O I C E,H I S T O R Y,,B Y,I N V O I C E
Invoice,#:,770199,Invoice date:,,11/01/18,,Customer: CASH,,CASH,,,Sales rep:,7
Order,#:,99718,Order date:,,11/01/18
,,,,,,,Telephone:,,951-567-4088,,HP
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,,#,Description,,,,Qty-shipped,,Unit price,,Lin-disc%,,Ext-price,Gross-margin
10,BR115A,,,NEW CHOICE CHICKEN NO MSG,,,1,CTNS,,5.80,/CTNS,0.000,5.80,0.60
,,,,,,,,,,,Invoice totals:,,5.80,0.60

Date,12/14/2018,Time,13:35:22,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0008
I N V O I C E,H I S T O R Y,B Y,I N V O I C E
Invoice,#:,770200,Invoice date:,11/01/18,Customer: A015,ASIAN FOOD LLC,Sales rep:,15
Order,#:,99703,Order date:,11/01/18,,1475 S.STATE ST.
,,,,,Telephone:
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,#,Description,Qty-shipped,Unit price,Lin-disc%,Ext-price,Gross-margin
10,FR322,WEI-C EGG ROLL SHELL,,,,1,CTNS,39.00,/CTNS,0.000,39.00,5.00
20,FR902,SHIRO MISO SOYBEAN PASTE,,,,1,CTNS,31.00,/CTNS,0.000,31.00,3.00
50,FR033A,OF BABY ROUND SCAD,,,,1,CTNS,46.50,/CTNS,0.000,46.50,18.90
60,FR116D,FR. SILVER FISH,,3/5 W/R,,1,CTNS,97.50,/CTNS,0.000,97.50,12.00
70,PW170,GC TEMPURA BATTER MIX,,,,1,CTNS,18.00,/CTNS,0.000,18.00,2.00
90,COF161,VINA,3IN1 CAFE,*20 SACH*,,1,CTNS,43.00,/CTNS,0.000,43.00,9.40
100,PW126,NESTLE MILO,,6 TIN,,1,CTNS,68.00,/CTNS,0.000,68.00,8.00
110,CI202,TCC SWT CHILI CHICKEN,,,*S*,1,CTN,24.50,/CTN,0.000,24.50,3.50
120,SS120,GOLDEN MOUNTAIN SOY SAUCE,,,,1,CTNS,15.00,/CTNS,0.000,15.00,2.50
130,FS120,1 SQUID FISH SAUCE,,**,,1,CTNS,17.00,/CTNS,0.000,17.00,17.00
140,UT818,PALLET,,,,1,CTNS,7.00,/CTNS,0.000,7.00,1.50
,,,,,,,,,Invoice totals:,,406.50,82.80

Date,12/14/2018,Time,13:35:22,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0009
,,,,I N V O I C E,H I S T O R Y,B Y,I N V O I C E
Invoice,#:,770201,Invoice date:,11/01/18,Customer: CH,CHINATOWN SUPERMARKET,,Sales rep:,15
Order,#:,99704,Order date:,11/01/18,,3390 S. STATE STREET,#11
,,,,,Telephone: MAN YEE SO VICE PRESIDENT
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,,#,Description,,Qty-shipped,Unit price,Lin-disc%,Ext-price,,Gross-margin
10,FR110CC,FR. CHILI OT TUOI,16z,*VN,1,CTNS,52.00,/CTNS,0.000,52.00,13.41
30,FR141,SUN CA BASA H/L WHOLECUT,,,10,CTNS,76.00,/CTNS,0.000,760.00,87.50
40,FR240A,OF COOKED WHOLE CLAM,,,2,CTNS,34.00,/CTNS,0.000,68.00,24.40
60,FR120C,OF CA HE GIA VI,1 PC,,1,CTNS,108.00,/CTNS,0.000,108.00,40.68
70,FR104A,FR. TOP SNAIL oc len,,10+1,1,CTNS,92.00,/CTNS,0.000,92.00,28.40
80,FR160,OF CA KEO,GOBY FISH,,1,CTNS,78.00,/CTNS,0.000,78.00,20.31
90,FR152,LAF BA KHIA (AN LIEN),,,1,CTNS,108.00,/CTNS,0.000,108.00,33.91
100,FR174,OF YELLOW ST TREVALLY,,,1,CTNS,42.00,/CTNS,0.000,42.00,10.24
110,FR503,OF SALTED YELLOW CROAKER,,,1,CTNS,198.00,/CTNS,0.000,198.00,57.64
120,FR182,OF THIT HEN VIETNAM,,,1,CTNS,58.00,/CTNS,0.000,58.00,24.40
130,FR101,LAF BLUE CRAB cua dong,,,1,CTNS,48.00,/CTNS,0.000,48.00,23.48
140,FR033A,OF BABY ROUND SCAD,,,5,CTNS,46.50,/CTNS,0.000,232.50,94.50
170,TH103,TAYHO BEEF MEAT BALLS,,,1,CTNS,94.00,/CTNS,0.000,94.00,8.80
180,FR360A,OF FEATHERBACK,800up,,1,CTNS,85.00,/CTNS,0.000,85.00,38.80
210,NO148A,GOOD SPARERIBS VERMICELLI,,,1,CTNS,25.50,/CTNS,0.000,25.50,3.00
230,NO463,VIFON PHO BO,*bowl*,,1,CTNS,27.50,/CTNS,0.000,27.50,2.50
240,NO481,VIFON phu gia MIEN CUA/R,,,1,CTNS,36.50,/CTNS,0.000,36.50,3.50
250,NO481B,VIFON phu gia MIEN MANG,,,1,CTNS,36.50,/CTNS,0.000,36.50,3.50
260,NO248,LA BO DE MI CHAY,,,1,BDL,18.50,/BDL,0.000,18.50,2.00
270,NO248A,LA BO DE pho CHAY,,,1,BDL,21.00,/BDL,0.000,21.00,3.00
280,NO145,MEI FF TOM YUM NOODLE,,,1,CTNS,28.00,/CTNS,0.000,28.00,2.50
290,NO147,MEI FF PHO BO,,,1,CTNS,30.50,/CTNS,0.000,30.50,2.81
310,NO310,MAMA MYOJO DUCK NOODLE,,,1,BUND,34.00,/BUND,0.000,34.00,2.00
320,NO335,MAMA PHO CLEAR SOUP (S),,,2,CTNS,52.00,/CTNS,0.000,104.00,14.00
330,NO200,MAMY PHO,,,1,CTNS,54.00,/CTNS,0.000,54.00,4.50
350,CO158B,HELLO KITTY CHOCOLATE,,,1,CTNS,28.00,/CTNS,0.000,28.00,3.00
360,CO158A,HELLO KITTY STRAWBERRY,,,1,CTNS,28.00,/CTNS,0.000,28.00,3.00
